LCS ID,AKR1D1,TIPARP,CYP3A4,HSD17B10,HSD17B8,AKR1C4,PPARGC1A,CYP19A1,SPP1,HSD17B3,ADM,SGPL1,HSD17B6,CYP17A1,SCARB1,SRD5A1,HSD17B11,WNT4,ESR1,HSD17B4,HSD3B1,DHRS9,SHH,HSD3B2,PLEKHA1,SRD5A2
LCS_015A,4.216,8.592,10.082,8.92,6.127000000000001,10.799000000000001,4.037,3.469,12.625,4.23,7.412000000000001,3.915,11.243,4.205,8.294,6.321000000000001,9.334,3.555,6.231,11.637,3.252,4.611000000000001,3.4330000000000003,3.4330000000000003,7.204,6.66
LCS_118A,5.575,7.0920000000000005,8.123,8.061,4.987,6.355,4.758,3.391,9.552999999999999,4.146,4.427,3.403,9.236,3.9760000000000004,9.312000000000001,6.855,9.636000000000001,3.428,3.523,9.887,3.239,4.178999999999999,3.398,3.2539999999999996,8.261000000000001,3.975
LCS_069A,5.483,6.329,6.611000000000001,7.8870000000000005,3.865,4.611000000000001,3.21,3.6510000000000002,10.857999999999999,3.8369999999999997,9.399,3.457,6.414,4.507,8.846,5.6979999999999995,9.184,3.627,4.059,9.677,3.304,4.95,4.184,3.478,8.185,4.018
LCS_234A,3.219,7.459,7.621,6.535,4.3260000000000005,5.1739999999999995,7.735,3.721,11.216,3.7739999999999996,9.993,3.571,4.71,4.4030000000000005,8.802,4.426,8.632,3.134,3.426,8.521,3.153,4.238,3.781,3.241,8.002,4.5360000000000005
LCS_210A,9.89,5.579,10.834000000000001,9.915,5.565,8.61,7.3420000000000005,3.5039999999999996,4.106,3.655,3.918,3.537,11.86,8.651,7.58,8.413,10.956,3.407,4.497,11.472999999999999,3.85,4.288,3.6189999999999998,3.342,7.095,4.402
LCS_265A,9.558,5.862,8.459,8.104,4.22,5.267,6.83,3.335,11.849,4.16,4.166,3.574,7.218999999999999,3.949,7.931,6.369,7.551,3.6289999999999996,3.542,9.103,3.2230000000000003,4.308,3.516,3.345,7.476,3.687
LCS_149A,10.609000000000002,6.016,7.103,8.708,6.165,9.621,7.6370000000000005,3.397,9.026,5.167999999999999,5.534,3.67,10.974,8.137,9.187000000000001,7.638999999999999,10.939,3.333,5.667999999999999,11.033,3.41,4.394,3.678,3.306,7.8,6.041
LCS_040A,6.9110000000000005,6.359,7.755,7.905,5.506,5.367000000000001,6.314,4.541,4.727,4.758,4.619,3.5060000000000002,3.2439999999999998,3.677,9.33,5.956,10.548,3.259,3.6439999999999997,10.24,3.255,4.221,3.614,3.3710000000000004,9.012,3.593
LCS_169A,8.363,5.775,8.232999999999999,9.295,6.821000000000001,10.016,4.916,3.3960000000000004,4.817,3.56,3.659,3.786,11.892000000000001,10.006,8.779,6.37,10.865,3.358,4.751,10.863,3.3360000000000003,4.2010000000000005,3.5860000000000003,3.4339999999999997,7.518,4.475
LCS_256A,4.5089999999999995,6.629,9.352,6.636,6.324,9.902999999999999,4.3469999999999995,3.815,5.255,4.0,5.007,3.764,10.237,4.449,7.007999999999999,8.222000000000001,9.464,3.284,4.407,10.305,3.305,4.654,3.8369999999999997,4.373,7.334,3.985
